Holiday,Source,Year,Author,Link,Headline,Content,headline_neg,headline_neu,headline_pos,headline_compound,content_neg,content_neu,content_pos,content_compound
MLK,FOX,2024,Greg Wehner,https://www.foxnews.com/politics/fbis-post-honoring-mlk-flagged-x-fact-checking-community-note,FBI's post honoring MLK flagged by X with fact-checking community note,"Niece of Dr. Martin Luther King Jr. Alveda King on what the 60th anniversary of her uncle's historic speech means to her and what it should mean to the U.S. TheFederal Bureau of Investigation (FBI)honored the late Dr. Martin Luther King Jr. on X on Monday, before the ""Community Notes"" feature on the social media platform hit the agency with a crowdsourced fact check showing its history with the Civil Rights Movement leader. ""This #MLKDay, the #FBI honors one of the most prominent leaders of the Civil Rights movement and reaffirms its commitment to Dr. King's legacy of fairness and equal justice for all,"" the FBI'spost on Xread. But directly underneath the post is a community note fact checking the agency, pointing out that the King family believes the FBI was responsible for King's death. 10 INTERESTING FACTS YOU MAY NOT KNOW ABOUT MARTIN LUTHER KING JR. ""The FBI engaged in surveillance of King, attempted to discredit him, and used manipulation tactics to influence him to stop organizing,"" the note read. ""King's family [believes] the FBI was responsible for his death."" The note also points to an article by CBS, ""MLK's Family Feels Vindicated,"" which was published on Dec. 8, 1999, and explained how King's widow, Coretta Scott King, felt vindicated when a jury found her husband was the victim of a conspiracy, not an assassin. ""I think that if people will look at the evidence that we have, it's conclusive, and I think the Justice Department has a responsibility to do what it feels is the right thing to do, the just thing to do,"" King told CBS Early Show Anchor Bryant Gumbel just one day after the December 1999 trial verdict. MARTIN LUTHER KING, JR: THE LIFE AND THE LEGACY Martin Luther King Jr. was an American minister and activist.(Getty Images ) The article also notes that a cover-up after the Memphis 1968 assassination involved the CIA, media, Army Intelligence and the FBI, according to King's lawyer, William Pepper. The community note also referenced an NPR story about a document that exposed how the FBI tried to destroy Martin Luther King Jr. with wiretaps and blackmail. The article, published on Jan. 18, 2021, said the FBI conducted an ""intense campaign to discredit"" King and his work, which was shown in the documentary, ""MLK/FBI."" Then-President Lyndon B. Johnson, through the late Bill Moyers, gave Hoover permission to secretly record King during the investigation. MY UNCLE, MARTIN LUTHER KING JR., BELIEVED DEEPLY IN THE PROMISE OF THE AMERICAN DREAM. WE CAN MAKE IT HAPPEN The FBI's J. Edgar Hoover headquarters building in Washington on Nov. 2, 2016.(AP Photo/Cliff Owen, File) ""The FBI has long acknowledged the abuses of power that took place under Director J. Edgar Hoover and the deplorable actions taken against Dr. King and others involved in thecivil rights movement,""the FBI told Fox News Digital. ""Today, the FBI honors Dr. King's life and legacy and uses those lessons from our past to reaffirm our commitment to equal justice, fairness, and diversity."" The FBI honored the late leader on Martin Luther King Jr. Day, which is celebrated on the third Monday of every January. CLICK HERE TO GET THE FOX NEWS APP The holiday honors the civil rights leader most remembered for his iconic ""I Have a Dream"" speech at the Lincoln Memorial on Aug. 28, 1963 during the 1963 March on Washington, D.C. King also took part in the Selma March, which led to the passage of the Voting Rights Act – legislation that helped African Americans exercise their right to vote. Greg Wehner is a breaking news reporter for Fox News Digital. Story tips and ideas can be sent to Greg.Wehner@Fox.com and on Twitter @GregWehner.",0.0,0.732,0.268,0.5106,0.054,0.83,0.116,0.9916
MLK,FOX,2023,Aubrie Spady,https://www.foxnews.com/politics/president-biden-republicans-fiscally-demented-mlk-day-speech-docs-scandal-inflation,"President Biden calls Republicans 'fiscally demented' during MLK Day speech, amid docs scandal, inflation","President Joe Biden said Republicans are ""fiscally demented"" while speaking at a Martin Luther King Day event Monday, amid GOP calls for more transparency regarding the president's mishandling of classified documents. President Joe Bidensaid Republicans are ""fiscally demented"" while speaking at a Martin Luther King Day event Monday, amid GOP calls for more transparency regarding the president's mishandling of classified documents. The president began by claiming Democrats are fiscally responsible, before taking a jab at Republicans who criticized his administrations spending. ""You're gonna talk aboutbig spending Democratsagain,"" Biden said during a speech at the National Action Network's Martin Luther King, Jr. Day breakfast, referring to Republicans who frequently called out the president for signing massive spending bills into law in the midst of a recession. ""Guess what,"" the president whispered into his microphone, ""I reduced the deficit last year three hundred and fifty billion dollars."" BIDEN REPEATS QUESTIONABLE CLAIM HE FREQUENTED BLACK CHURCH DURING CIVIL RIGHTS MOVEMENT U.S. President Joe Biden said Republicans are ""fiscally demented.""(Anna Moneymaker) ""These guys, they're fiscally demented. They don't quite get it,"" Biden said drawing laughs from the crowd, before quickly returning to the teleprompter and reading the rest of his speech. Biden continued to tout his trillion dollar spending packages throughout the speech, meanwhile inflation hit a 40-year-high of 9.1% in June and gas prices soared nationwide under his watch. In November, the Biden administration claimed that they were responsible for the historicalreduction in the federal deficit, leaving out other major contributing factors that led to the decrease. BIDEN SLAMMED FOR LYING 'WITH EASE AND COMFORT' ON CLASSIFIED DOCUMENTS: 'PATHOLOGICAL' IN NATURE ""The Biden-Harris Administration lowered the deficit with the single largest one-year reduction in American history,""the White House tweeted. President Joe Biden speaks at the National Action Network's Martin Luther King, Jr., Day breakfast.(AP) Twitter users quickly pointed out that despite the reduction, ""the FY22 deficit is still the 4th largest in history and is 41% larger than FY19"" and highlighted that high COVID-driven deficits played a significant role in the drop. CLICK HERE TO GET THE FOX NEWS APP Biden's comment comes just days after several batches of classified documents were found at both his Penn Biden Center office and Delaware home, a recovery that sparked major backlash from the GOP after the president had called former PresidentTrump ""irresponsible""for holding onto classified materials after leaving office. Aubrie Spady is a Writer for Fox News Digital.",0.182,0.818,0.0,-0.4404,0.067,0.889,0.044,-0.8316
MLK,FOX,2022,Lisa Bennatan,https://www.foxnews.com/us/mlk-march-frederick-douglass-bridge,"Hundreds mark MLK Day marching across Frederick Douglass Bridge, demand voting legislation","WASHINGTON, D.C. – Hundreds marched across the Frederick Douglass Memorial Bridge in Washington, D.C., on Martin Luther King Jr. Day and called on Congress to pass voting legislation. ""Today we are here for this march across Frederick Douglass bridge to say to the president and U.S. Senate: You were successful with infrastructure, which is a great thing, but we need you to use that same energy to ensure all Americans have the unencumbered right to vote,"" Martin Luther King III told the crowd before the march. Marchers said they came to honor the late King, protect democracy and bring awareness tovotersuppression. SENATE FILIBUSTER FIGHT: WHAT'S IN DEMOCRATS' VOTING BILL AT CENTER OF SHOWDOWN? ""I'm terrified that our democracy is under attack,"" one woman told Fox News Digital. ""We are seeing an erosion of our voting rights."" ""If we can't push through voting rights, we're going to see a slide towards authoritarianism,"" she continued. The King family leads hundreds of marchers across the Frederick Douglass Memorial Bridge(Fox News Digital/Lisa Bennatan) Another marcher, Joseline Garcia, told Fox News: ""Dr. Martin Luther King stood for protecting democracy for everyone, and so we're here to ensure that takes place."" Acollegestudent said: ""In today's era, with voting and voter suppression, we just want to let everybody know that we're here to support."" Many also demandedCongresspass theFreedom to Vote: John R. Lewis Act, a combination of voting bills. Democrats argue that the legislation will prevent voter suppression, but Republicans have argued that it will open elections to fraud. ""John Lewis will protect your rights, Garcia said. ""It is all of our futures, no matter who you align with, that is at stake."" Martin Luther King III speaks to the crowd ahead of the march(Fox News Digital/Lisa Bennatan) CLICK HERE TO GET THE FOX NEWS APP Similarly, Charles Lowrey said he was marching because ""the legislation in Congress needs to be passed,"" in order to ""improve voting rights."" Marchers hold 'Deliver for Voting Rights' sign(Fox News Digital/Lisa Bennatan) ""It's so important,"" Lowrey told Fox News. The voting legislation has no clear path forward since Democrats don't have the votes needed for it to pass. Lisa Bennatan is an associate producer/writer for Fox News Digital Originals. Follow her on Twitter @LisaBennatan and Instagram @Lisa_Bennatan",0.12,0.88,0.0,-0.128,0.065,0.847,0.088,0.6543
MLK,FOX,2021,Paul Steinhauser,https://www.foxnews.com/politics/biden-mlk-day-volunteering-hunger-relief-group,Biden marks MLK Day by volunteering for hunger-relief group,"With an eye toward reuniting the country after the turbulent presidency of Donald Trump,President-elect Joe Bidenmarked the Martin Luther King Jr. federal holiday by volunteering. The president-elect and his wife, the incoming first lady Jill Biden, made a short trip Monday from their home in Wilmington, Del., toPhiladelphia, to volunteer at Philabundance, a hunger-relief organization, during the official day of service to celebrate the historic civil rights leader's life and legacy. HARRIS RESIGNS FROM THE SENATE TWO DAYS BEFORE INAUGURATION ""Service is a fitting way to start to heal, unite, and rebuild this country we love,"" Biden wrote on Twitter. The Democratic president-elect's calls to work across the aisle with Republicans to try and unify a bitterly divided country has been a major theme of Biden's presidential campaign and transition for the past two months. LIVE UPDATES FROM FOX NEWS ON THE BIDEN INAUGURATION The Bidens' trip to Philadelphia comes two days before the president-elect isinaugurated. The Bidens, along with their daughter Ashley Biden and granddaughter Finnegan Biden, helped load cans into packed boxes that were being moved along a conveyor belt set up outside the building in the parking lot. Fox News was told that the Bidens packed over 150 boxes. President-elect Joe Biden participates in a National Day of Service event at Philabundance, a hunger relief organization, with his daughter Ashley Biden, and his granddaughter Finnegan Biden, left, Monday, Jan. 18, 2021, in Philadelphia. (AP Photo/Evan Vucci)((AP Photo/Evan Vucci)) The president-elect wore a dark coat and a ball cap, which appeared to be a green Philabundance hat. Philabundanceprovides more than 24 million pounds of food each year to those in need, including by providing food to smaller community food banks. Vice President-elect Kamala Harris and her husband, incoming second gentleman Doug Emhoff, marked the holiday by volunteering in the nation's capital. They filled bags of food at Martha's Table, a non-profit organization that works to increase access to healthy food and high-quality educations. Looking ahead to Wednesday's inaguration, Harris told reporters that ""we're ready to do the work and we've got a lot of work to do. It's not going to be easy."" ""Some would say our is an ambitious goal but we do believe with hard work and with the cooperation and collaboration of the United States Congress, we can get it done,"" he emphasized. Fox News' Madeleine Rivera and Allie Raffa contributed to this report.",0.0,1.0,0.0,0.0,0.018,0.934,0.048,0.8745
MLK,FOX,2020,Andrew O'Reilly,https://www.foxnews.com/politics/trump-martin-luther-king-day-african-american-unemployment,Trump touts low African-American unemployment numbers in MLK Day tweet,"Thousands gather in Memphis to honor Martin Luther King Jr.'s legacy 50 years after his assassination. Conservative commentator Jeremy Hunt and 'The Five' co-host Juan Williams react on 'The Story.' President Trumptook time on Monday to honor both the late Rev. Martin Luther King Jr. and his own inauguration three years ago by touting that theunemployment ratefor African-Americans is the lowest in history. â€œIt was exactly three years ago today, January 20, 2017, that I was sworn into office,â€ Trump tweeted. â€œSo appropriate that today is also MLK jr DAY. Thetweetcontinued: â€œAfrican-American Unemployment is the LOWEST in the history of our Country, by far. Also, best Poverty, Youth, and Employment numbers, ever. Great!â€ Later in the day, Trump and Vice President Mike Pence made a short visit to the Martin Luther King Jr Memorial in Washington, D.C., to pay their respects. Trump was just one of many politicians – from all political stripes – to send out a message commemorating the civil rights leader. In an early tribute to King, Pence spoke Sunday in Memphis, Tennessee, at a church service in which he recalled the challenges and accomplishments of the slain civil rights leader. Before the service, Pence toured the National Civil Rights Museum at the Lorraine Motel in Memphis, where King was shot and killed on April 4, 1968, while standing on a balcony. â€œI'm here to pay a debt of honor and respect to a man who from walking the dirt roads of the Deep South, to speaking to hundreds of thousands on the steps of the Lincoln Memorial, touched the hearts of the American people and led the civil rights movement to triumph over Jim Crow,â€ Pence said Sunday at the Holy City Church of God in Christ. Acknowledging the nation's divisions, Pence said that if Americans rededicated themselves to the ideals that King advanced while striving to open opportunities for everyone, â€œwe'll see our way through these divided times and we'll do our part in our time to form a more perfect union.â€ ALVEDA KING: WHAT MY UNCLE WOULD ASK OF EACH OF US With the presidential election looming this fall, divisions have rankled Americans, according to recent opinion polls. Among black Americans, over 80 percent said last year that Trump's actions in office have made things worse for people like them, while only 4 percent said they thought his actions have been good for African-Americans in general. That's according to a poll conducted by The Associated Press-NORC Center for Public Affairs Research. Fox News contributor Andy McCarthy breaks down everything Americans need to know about the Senate's impeachment trial against President Donald Trump. CLICK HERE TO GET THE FOX NEWS APP The same poll found about two-thirds of Americans overall disapproved of how Trump has handled race relations. Trump has been seeking to woo black voters, aiming for additional support in critical swing states later this year. His campaign has stepped up outreach efforts, including to African-Americans and Latinos, marking a departure from 2016 when Trump's volunteer â€œNational Diversity Coalitionâ€ struggled to make an impact. The campaign already has spent over $1 million on black outreach, including radio, print and online advertising in dozens of markets, officials said. The Associated Press contributed to this report.",0.466,0.534,0.0,-0.6249,0.067,0.844,0.089,0.9109
MLK,FOX,2019,Louis Casiano,https://www.foxnews.com/politics/activist-and-former-fbis-most-wanted-fugitive-angela-davis-to-speak-at-mlk-day-event,"Angela Davis, former fugitive wanted by FBI, to offer MLK Day lecture","Angela Davis, author, educator and iconic civil rights activist, speaks in Flint, Mich., in an undated photo. (Associated Press) Angela Davis, an activist who gained notoriety in the 1960s and 70s while working with the Communist Party USA and theBlack Panther Partyand whose involvement in the armed takeover of a California courtroom resulted in four deaths, will be a featured speaker next week at a Martin Luther King Jr. Day event. Davis has remained an activist and advocates on social problems related to incarceration, racial discrimination and poverty. Her presence next Wednesday at the University of New England in Biddeford, Maine, is meant to champion the school's devotion to inclusion and diversity, university president James Herbert said, according to reports. â€œAngela Davis' visit to UNE reminds us of our remarkable institutional history, a history of including those who are excluded and championing those who are shunned,â€ Herbert said in astatement. UCLA'S 'OPTIMIST' TRIBUTE TO AVOWED COMMUNIST ANGELA DAVIS BLASTED Erica Rousseau, director of intercultural student engagement for the university, said Davis' appearing at the school had special meaning for her. Angela Davis, author, educator and iconic civil rights activist, speaks during her visit to the University of Michigan-Flint, in Flint, Mich. (Jake May/The Flint Journal via AP, File) â€œGrowing up and learning about heroes like Harriet Tubman and Angela Davis, I knew that black women can change the world,"" Rousseau toldCentralMaine.com. The university will not focus on Davis' past, which includes being fired from a professor position in 1969 for being a member of the Communist Party USA and later being added the FBI's Top Ten Most Wanted List. Authorities linked her to the purchase of weapons that were later used by three inmates who took a judge and juror hostage during their trial in 1970 for killing a prison guard. Law enforcement officials responded with a barrage of bullets and the inmates and judge died. Davis was accused of providing weapons used in the incident and was put on the FBI list until she was captured in 1972. She was later acquitted at trial. CLICK HERE TO GET THE FOX NEWS APP Davis spent several few years teaching feminist studies other courses at the University of California at Santa Cruz before retiring in 2008, the Maine news site said. She has long been alightning rodfor some who believe she shares responsibility for the courtroom attack. Earlier this month, African-American leaders and activists criticized a decision by the Birmingham Civil Rights Institute in Alabama for rescinding an award honoring Davis after complaints from the Jewish community over her support of Palestinian rights and criticism of Israel. The Associated Press contributed to this report.",0.0,1.0,0.0,0.0,0.086,0.815,0.098,0.5859
MLK,FOX,2018,Ronnie Floyd,https://www.foxnews.com/opinion/on-mlk-day-we-still-cannot-be-satisfied,On MLK Day we still cannot be satisfied,"FILE -- People gather to march in the annual parade down MLK Boulevard to honor Martin Luther King.(REUTERS/Billy Weeks) Martin Luther King, Jr. was a dreamer. He saw what others could not see. He heard what others did not hear. He felt what others did not feel. Therefore, he did what others were not willing to do. King understoodanyform of racism defies the dignity of human life. That is why, in the midst of racial injustice and division in America, he dreamed about a day in our nation whenâ€œjustice rolls down like waters and righteousness like a mighty stream.â€His quote of Amos 5:24 mirrored the heart of a prophet who in his own day was witness to injustice and inequality. But King's interpretation of the text was tinged with a sense of holy dissatisfaction. Standing on the steps of the Lincoln Memorial, he framed it this way:â€œNo, no, we are not satisfied, and we will not be satisfied until justice rolls down like waters and righteousness like a mighty stream.â€ Most of us remember MLK's 1963 speech by its most famous theme — â€œI Have a Dreamâ€ — but King was much more than a dreamer. What made him one of the most consequential figures of the 20th century was his insatiable desire for biblical justice. This desire would end up costing him his life, but his dream of biblical justice in America would live on. It still lives on today. Reflecting upon this history, I'm moved to humility and repentance. We are not black churches. We are not white churches. We are not Latino churches. We are not Asian churches. We are the church of Jesus Christ. We are members of the same body. In the true church of Jesus Christ, the walls of racism and injustice come down. When I look upon today, there are moments when I think we have come so far. But then, there are other moments that happen far too many times, when the evil of the human heart reminds me that we still have so far to go. It's with deep regret that I can do nothing to wipe clean the stained past against our African American brothers and sisters. But with all I am, I can join them in creating a future together that binds up the nation's wounds and always marches ahead knowing we will not be satisfied untilâ€œjustice rolls down like waters, and righteousness like a mighty stream.â€ We cannot change the future of America by ourselves or by remaining cloistered with those who look, talk and think like us. Biblical justice demands engagement. This goes especially to the church in America. Silence is not the answer to our racial issues in America, and, to be perfectly frank, blind hope that our conflicts will sort out by themselves is a strategy to fail. Pastors and churches cannot sit passively on the sideline. This is one moment when the church of Jesus Christ must lead by exemplifying a strong commitment to racial unity. We are not black churches. We are not white churches. We are not Latino churches. We are not Asian churches. We are the church of Jesus Christ. We are members of the same body. In the true church of Jesus Christ, the walls of racism and injustice come down. On Martin Luther King Day, Jan. 15, I will join pastor Arthur L. Hunt, Jr. and Governor Asa Hutchinson at the Arkansas State Capitol and, along hundreds of pastors in Arkansas, we are going to stand and be united publicly. We are choosing unity, not simply talking about it. Our goal is not political or even racial, but biblical. We must not, we cannot, be satisfied until, as Amos said,â€œjustice rolls down like waters, and righteousness like a mighty stream.â€ It's past time for racial unity in America. We've decided to be united.",0.25,0.75,0.0,-0.3252,0.096,0.764,0.14,0.9827
MLK,FOX,2017,Associated Press,https://www.foxnews.com/us/king-day-parade-turns-violent-when-8-shot-in-miami,King Day parade turns violent when 8 shot in Miami,"People react after several were injured in a shooting at Martin Luther King Jr. Memorial Park in Miami-Dade, Fla., Monday, Jan. 16, 2017. The Miami Herald reports that hundreds of people had gathered in the park after the annual MLK Day parade. (Carl Juste/Miami Herald via AP)(The Associated Press) Miami-Dade police respond after several were injured in a shooting at Martin Luther King Jr. Memorial Park in Miami-Dade, Fla., Monday, Jan. 16, 2017. The Miami Herald reports that hundreds of people had gathered in the park after the annual MLK Day parade. (Carl Juste/Miami Herald via AP)(The Associated Press) Miami-Dade Fire and Rescue paramedics lift a woman after she lost consciousness after several were injured in a shooting at Martin Luther King Jr. Memorial Park in Miami-Dade, Fla., Monday, Jan. 16, 2017. The Miami Herald reports that hundreds of people had gathered in the park after the annual MLK Day parade. (Carl Juste/Miami Herald via AP)(The Associated Press) MIAMI – A national holiday that was supposed to be about nonviolence erupted into mayhem in Miami when police say eight people were wounded in a shooting at Martin Luther King Jr. Memorial Park. Police say they are not sure what started the shooting on Monday afternoon. Hundreds of people had gathered in the park after the annual MLK Day parade in the Liberty City neighborhood. People scattered in all directions when they heard the gunfire. The wounded ranged in age from 11 to 30. Miami-Dade Detective Daniel Ferrin says two suspects were being questioned. The Miami Herald (http://hrld.us/2ji9upu) reports that the parade has been a tradition since the 1970s. People gather on the streets to barbecue, listen to music show and celebrate the slain civil rights leader.",0.328,0.672,0.0,-0.5994,0.062,0.894,0.044,-0.3532
MLK,FOX,2016,Elizabeth Llorente,https://www.foxnews.com/politics/who-knew-latino-majority-texas-city-puts-on-one-of-the-countrys-largest-mlk-day-celebrations,Who Knew? Latino Majority Texas City Puts On One Of The Country's Largest MLK Day Celebrations,"Martin Luther King Day march in San Antonio, Texas(sanantonio.gov) (sanantonio.gov) One of the largest celebrations in this nation for Martin Luther King Day takes place in a city that has a small African American community, and a Latino majority. San Antonio, Texas, where Latinos make up 63 percent of the city's 1.4 million residents, and blacks 7 percent and whites 26.6 percent, has been celebrating the late civil rights leader's birthday since 1987 and attracting one of the biggest crowds anywhere in the United States. The annual march attracts some 100,000 people, according to city figures. Last year the crowd was 150,000, say organizers. Large crowds also attend the various other activities around the city that focus on King's life and legacy. â€œThe fact that our city hosts one of the largest Martin Luther King Jr., marches in the nation reflects why San Antonio is a city on the rise,â€ said San Antonio Mayor JuliÃ¡n Castro in a written statement. â€œPeople of all backgrounds throughout history have found a place in San Antonio's diverse cultural communities.â€ Some published accounts say San Antonio began observing King's life and contributions to racial justice with a modest annual procession begun by a pastor who had pushed for a statue of the civil rights leader. In 1986, under the mayoralty of Henry Cisneros, city officials passed a resolution establishing the San Antonio Martin Luther King Jr. Commission, which paved the way for the annual celebration. Community activist Aaronetta Pierce and the late Rev. Claude Black, known in San Antonio for his civil rights work, were forces behind the city's full embrace of celebrating and promoting King's struggle for equality. Bishop David M. Copeland, the chair of the San Antonio Martin Luther King Commission, told Fox News Latino that the annual celebration has grown steadily in size and its mission. While published reports commonly describe San Antonio's march as one of the largest for Martin Luther King's birthday in the United States, Copeland asserts that it is ""the largest."" Work on Martin Luther King Day-related events begins a full seven months before, and involves about a dozen committees. The weeks leading up to the march, which this year is Jan. 20, include seminars, musical performances, art workshops and oratorical contests for school children. Some of the speakers and performers this year, when the theme is â€œRealizing The Dream: Jobs, Justice and Freedom,â€ include economist Julianne Malveaux, music star Sean Paul and AFL-CIO president Richard Trumka. The commission has expanded its focus to go beyond the January events, Copeland said. For example, for years it has given out about 20 scholarships, averaging about $1,000, to graduating high school seniors annually. In recent years, though, the scholarships have risen to about $2,000 each. The commission is hoping to raise more than $100,000, Copeland said, â€œso that we can give better scholarships,â€ noting that college is expensive. â€œWe want to promote education, to promote learning,â€ he said. â€œThat takes more than just marching two and a half miles every year.â€ Graciela Sanchez of the Esperanza Peace and Justice Center in San Antonio said that Latinos and African Americans in the city have often teamed up to address issues of concern to both communities. She noted that two Latinos are members of the city's Martin Luther King Commission. Elsewhere in the nation, many have noted the special influence that King continues to have on Latinos and their civil rights struggles. Donna Maria Blancero, an associate professor at Bentley University in Massachusetts, wrote last year: â€œDr. King inspired many Latinos, including Cesar Chavez and Dolores Huerta.â€ She noted that for the first time, last year, â€œa Latino, Reverend Samuel Rodriguez, [gave] the keynote address at Dr. King's commemorative service at King's own Ebenezer Baptist Church.â€ ""Latinos, just like other Americans, consider Dr. King a great leader of the civil rights movement,"" Blancero wrote. ""If he were alive today, he likely would be working side by side with Latinos to address issues of inequality.â€",0.0,1.0,0.0,0.0,0.007,0.897,0.096,0.9955
MLK,AP,2024,Jeff Martin,https://apnews.com/article/mlk-martin-luther-king-f4bb0a82ab0fd77c4e2670132f77e575,"MLK Jr. holiday celebrations include acts of service and parades, but some take a political turn","ATLANTA (AP) — Communities across the nation celebrated the Martin Luther King Jr. holiday on Monday with acts of service, prayer services and parades. But with the November presidential election as a backdrop, some events took on an overtly political turn. In King's hometown of Atlanta, several speakers at the 56th annual commemorative service at the historic Ebenezer Baptist Church, where King served as pastor, touched on the divisive partisan climate in the United States. Former U.S. Rep. Liz Cheney, who served on the House committee that investigated the Jan. 6, 2021, insurrection at the Capitol, had harsh words for Trump, whom she did not mention by name. On that day, Trump's supporters tried to block Congress from counting the Electoral College votes that would affirm Joe Biden's victory in the 2020 presidential race. â€œA former president refuses to acknowledge that he lost, and he has convinced millions that our elections and our democracy no longer work,â€ she said. â€œHe threatens the foundations of our nation and everything Dr. King persevered to save.â€ She also criticized some religious leaders in the way they seemed to worship Trump, not God. U.S. Sen. Raphael Warnock, the longtime senior pastor of Ebenezer, told the audience, â€œYou better stand up and vote!â€ to rousing applause. â€œIf your vote didn't count, why are folks trying so hard to keep you from voting? Stand and use your voice. Stand up and use your vote. Speak up!â€ The Martin Luther King Jr. holiday has been marked with events, parades, acts of service and by some observers with an eye on the election. AP correspondent Norman Hall reports. Bernice King, the daughter of the late civil rights leader, warned that â€œour humanity is literally under attack.â€ But she noted that her father's legacy of nonviolence taught the world that â€œwe can defeat injustice, ignorance and hold people accountable at the same time without seeking to destroy, diminish, demean or cancel them.â€ Speaking at the MLK Day at the Dome rally at the South Carolina Statehouse, Vice President Kamala Harris said young people two or three generations removed from King have seen their freedoms shrink — from laws restricting voting to bans on abortions and the ever-present threat of gun violence, especially in schools. President Joe Biden volunteers at Philabundance, a hunger relief organization, to mark Martin Luther King, Jr., day, Monday, Jan. 15, 2024, in Philadelphia, with Philadelphia Mayor Cherelle Parker, left. (AP Photo/Evan Vucci) â€œThey even try to erase, overlook and rewrite the ugly parts of our past. For example, the Civil War — which must I really have to say was about slavery?â€ Harris said. Harris also used her speech at the event — which started in 2000 to pressure the state to remove the Confederate flag from atop the Capitol dome — to urge the younger generation to regain those rights lost through voting and action. â€œGeneration after generation on the fields of Gettysburg, in the schools of Little Rock, on the grounds of this Statehouse, on the streets of Ferguson and on the floor of the Tennessee House of Representatives — we the people have always fought to make the promise of freedom real,â€ Harris said. In Philadelphia, President Joe Biden marked Martin Luther King Jr. Day by volunteering at Philabundance, a nonprofit food bank. He stuffed donation boxes with apples and struck up casual chatter with workers at the organization, where he volunteered for the third time as president or president-elect to mark the January day of service. Martin Luther King III, center, poses with a group of students during the annual Martin Luther King, Jr. Wreath Laying Ceremony at the Martin Luther King Jr. Memorial in Washington, Monday, Jan. 15, 2024. ( AP Photo/Jose Luis Magana) The 29th annual Greater Philadelphia Martin Luther King Day of Service is billed as the first and largest King day of service in the nation. Volunteer activities included preparing care packages for victims of gun violence and distributing voter information packets. Also in the city, the Philadelphia MLK Association held its annual tapping of the Liberty Bell on Independence Mall, and the National Constitution Center offered free admission with a slate of civil rights era events and a school supply drive. In Washington, Martin Luther King III participated in a wreath-laying event at his father's memorial. In Wisconsin, Gov. Tony Evers, at a noontime ceremony in the state Capitol rotunda, said the holiday is an opportunity to recommit to addressing health disparities, fully funding public schools and providing affordable housing, child care and transportation. Doing that â€œwe can build the sort of future we all want to see for our state,â€ the Democratic former educator said. In Los Angeles, thousands gathered for the annual Kingdom Day Parade, with the theme â€œCan't Stop, Won't Stop, Going to the Promised Land.â€ LA Mayor Karen Bass urged Angelenos to honor King's legacy by taking care of vulnerable communities, including the homeless. â€œThe inequality is staggering, with more than 70% of unhoused Angelenos being people of color. While we celebrate the legacy of Dr. King today, we must recommit to confronting this crisis of our time,â€ Bass said in a statement. Meanwhile,a dangerously cold winterstorm was limiting some planned activities. The National Civil Rights Museum in Memphis announced that it would be closed on Monday because of icy roads but would still hold a virtual celebration in honor of King's birthday. The Great Smoky Mountains National Park on the Tennessee-North Carolina border was also closed, canceling a campground cleanup event. Also canceled because of weather was the Martin Luther King Gymnastics Invitational set for Monday at Vanderbilt University in Nashville. The historic meet was to include Fisk, Brown, Iowa State, Rutgers, Talladega (Ala.) and William & Mary. The competition aimed to feature the only African American women head coaches in the sport for the first time ever. Observed federally since 1986, the holiday occurs on the third Monday of January, which this year happens to be King's actual birthday. Born in 1929, the slain civil rights leader would have been 95. This year also marks the 60th anniversary of the passage of the Civil Rights Act and King's Nobel Peace Prize. Collins reported from Columbia, S.C. Associated Press journalists Seung Min Kim in Philadelphia, Michael Casey in Boston, Scott Bauer in Madison, Wisconsin, and Christopher Weber in Los Angeles contributed.",0.0,0.883,0.117,0.2144,0.09,0.806,0.104,0.9618
